Timestamp;Filename;Latitude;North/South;Longitude;East/West
24-04-2023 12:54:17;image_000.jpg;45/1,47/1,53/10;S;134/1,32/1,351/10;E
24-04-2023 12:55:06;image_001.jpg;44/1,15/1,454/10;S;138/1,14/1,118/10;E
24-04-2023 12:55:55;image_002.jpg;42/1,35/1,322/10;S;141/1,46/1,111/10;E
24-04-2023 12:56:45;image_003.jpg;40/1,48/1,84/10;S;145/1,6/1,312/10;E
24-04-2023 12:57:34;image_004.jpg;38/1,56/1,317/10;S;148/1,12/1,164/10;E
24-04-2023 12:58:22;image_005.jpg;36/1,59/1,188/10;S;151/1,8/1,68/10;E
24-04-2023 12:59:12;image_006.jpg;34/1,56/1,523/10;S;153/1,55/1,18/10;E
24-04-2023 13:00:01;image_007.jpg;32/1,49/1,494/10;S;156/1,33/1,364/10;E
24-04-2023 13:00:50;image_008.jpg;30/1,38/1,408/10;S;159/1,4/1,329/10;E
24-04-2023 13:01:40;image_009.jpg;28/1,23/1,452/10;S;161/1,28/1,435/10;E
24-04-2023 13:02:29;image_010.jpg;26/1,5/1,484/10;S;163/1,46/1,284/10;E
24-04-2023 13:03:19;image_011.jpg;23/1,44/1,489/10;S;165/1,58/1,527/10;E
24-04-2023 13:04:08;image_012.jpg;21/1,24/1,15/10;S;168/1,4/1,30/10;E
24-04-2023 13:04:57;image_013.jpg;19/1,0/1,540/10;S;170/1,5/1,170/10;E
24-04-2023 13:05:46;image_014.jpg;16/1,35/1,460/10;S;172/1,3/1,47/10;E
24-04-2023 13:06:35;image_015.jpg;14/1,8/1,526/10;S;173/1,57/1,577/10;E
24-04-2023 13:07:24;image_016.jpg;11/1,40/1,247/10;S;175/1,50/1,289/10;E
24-04-2023 13:08:14;image_017.jpg;9/1,10/1,379/10;S;177/1,41/1,59/10;E
24-04-2023 13:09:04;image_018.jpg;6/1,39/1,437/10;S;179/1,30/1,182/10;E
24-04-2023 13:09:52;image_019.jpg;4/1,10/1,513/10;S;178/1,43/1,313/10;W
24-04-2023 13:10:41;image_020.jpg;1/1,41/1,150/10;S;176/1,57/1,474/10;W
24-04-2023 13:11:31;image_021.jpg;0/1,48/1,535/10;N;175/1,12/1,39/10;W
24-04-2023 13:12:20;image_022.jpg;3/1,19/1,278/10;N;173/1,25/1,508/10;W
24-04-2023 13:13:09;image_023.jpg;5/1,50/1,135/10;N;171/1,38/1,431/10;W
24-04-2023 13:13:59;image_024.jpg;8/1,20/1,461/10;N;169/1,50/1,218/10;W
24-04-2023 13:14:48;image_025.jpg;10/1,51/1,99/10;N;168/1,0/1,59/10;W
24-04-2023 13:15:37;image_026.jpg;13/1,18/1,48/10;N;166/1,9/1,471/10;W
24-04-2023 13:16:26;image_027.jpg;15/1,44/1,151/10;N;164/1,16/1,463/10;W
24-04-2023 13:17:15;image_028.jpg;18/1,9/1,419/10;N;162/1,20/1,195/10;W
24-04-2023 13:18:04;image_029.jpg;20/1,34/1,16/10;N;160/1,19/1,582/10;W
24-04-2023 13:18:54;image_030.jpg;22/1,57/1,89/10;N;158/1,14/1,547/10;W
24-04-2023 13:19:43;image_031.jpg;25/1,18/1,334/10;N;156/1,4/1,379/10;W
24-04-2023 13:20:33;image_032.jpg;27/1,37/1,443/10;N;153/1,48/1,346/10;W
24-04-2023 13:21:21;image_033.jpg;29/1,51/1,512/10;N;151/1,28/1,391/10;W
24-04-2023 13:22:10;image_034.jpg;32/1,3/1,169/10;N;149/1,1/1,248/10;W
24-04-2023 13:22:59;image_035.jpg;34/1,11/1,321/10;N;146/1,26/1,26/10;W
24-04-2023 13:23:48;image_036.jpg;36/1,15/1,441/10;N;143/1,42/1,93/10;W
24-04-2023 13:24:38;image_037.jpg;38/1,15/1,474/10;N;140/1,48/1,145/10;W
24-04-2023 13:25:27;image_038.jpg;40/1,11/1,0/10;N;137/1,43/1,254/10;W
24-04-2023 13:26:17;image_039.jpg;42/1,0/1,335/10;N;134/1,26/1,561/10;W
24-04-2023 13:27:06;image_040.jpg;43/1,41/1,597/10;N;131/1,1/1,347/10;W
24-04-2023 13:27:54;image_041.jpg;45/1,16/1,106/10;N;127/1,23/1,598/10;W
24-04-2023 13:28:44;image_042.jpg;46/1,42/1,448/10;N;123/1,32/1,276/10;W
24-04-2023 13:29:33;image_043.jpg;48/1,0/1,223/10;N;119/1,27/1,418/10;W
24-04-2023 13:30:22;image_044.jpg;49/1,8/1,34/10;N;115/1,10/1,84/10;W
24-04-2023 13:31:12;image_045.jpg;50/1,4/1,557/10;N;110/1,40/1,145/10;W
24-04-2023 13:32:01;image_046.jpg;50/1,49/1,191/10;N;106/1,4/1,457/10;W
24-04-2023 13:32:50;image_047.jpg;51/1,21/1,457/10;N;101/1,19/1,24/10;W
24-04-2023 13:33:39;image_048.jpg;51/1,41/1,226/10;N;96/1,26/1,276/10;W
24-04-2023 13:34:29;image_049.jpg;51/1,47/1,402/10;N;91/1,30/1,460/10;W
24-04-2023 13:35:17;image_050.jpg;51/1,40/1,432/10;N;86/1,39/1,413/10;W
24-04-2023 13:36:06;image_051.jpg;51/1,20/1,403/10;N;81/1,49/1,409/10;W
24-04-2023 13:36:55;image_052.jpg;50/1,47/1,473/10;N;77/1,4/1,501/10;W
24-04-2023 13:37:45;image_053.jpg;50/1,2/1,139/10;N;72/1,25/1,593/10;W
24-04-2023 13:38:34;image_054.jpg;49/1,4/1,527/10;N;67/1,57/1,99/10;W
24-04-2023 13:39:23;image_055.jpg;47/1,56/1,455/10;N;63/1,40/1,326/10;W
24-04-2023 13:40:12;image_056.jpg;46/1,39/1,374/10;N;59/1,39/1,105/10;W
24-04-2023 13:41:01;image_057.jpg;45/1,13/1,293/10;N;55/1,49/1,595/10;W
24-04-2023 13:41:50;image_058.jpg;43/1,38/1,400/10;N;52/1,11/1,532/10;W
24-04-2023 13:42:39;image_059.jpg;41/1,55/1,275/10;N;48/1,44/1,7/10;W
24-04-2023 13:43:28;image_060.jpg;40/1,7/1,334/10;N;45/1,31/1,221/10;W
24-04-2023 13:44:17;image_061.jpg;38/1,13/1,272/10;N;42/1,28/1,485/10;W
24-04-2023 13:45:06;image_062.jpg;36/1,13/1,186/10;N;39/1,35/1,53/10;W
24-04-2023 13:45:56;image_063.jpg;34/1,7/1,541/10;N;36/1,49/1,571/10;W
24-04-2023 13:46:44;image_064.jpg;32/1,0/1,167/10;N;34/1,15/1,396/10;W
24-04-2023 13:47:33;image_065.jpg;29/1,48/1,446/10;N;31/1,48/1,324/10;W
24-04-2023 13:48:22;image_066.jpg;27/1,33/1,331/10;N;29/1,27/1,441/10;W
24-04-2023 13:49:11;image_067.jpg;25/1,15/1,39/10;N;27/1,12/1,347/10;W
24-04-2023 13:50:01;image_068.jpg;22/1,53/1,242/10;N;25/1,2/1,142/10;W
24-04-2023 13:50:50;image_069.jpg;20/1,31/1,398/10;N;22/1,58/1,299/10;W
24-04-2023 13:51:39;image_070.jpg;18/1,7/1,463/10;N;20/1,58/1,340/10;W
24-04-2023 13:52:28;image_071.jpg;15/1,41/1,534/10;N;19/1,1/1,492/10;W
24-04-2023 13:53:17;image_072.jpg;13/1,14/1,226/10;N;17/1,7/1,497/10;W
24-04-2023 13:54:07;image_073.jpg;10/1,44/1,581/10;N;15/1,15/1,433/10;W
24-04-2023 13:54:55;image_074.jpg;8/1,17/1,105/10;N;13/1,27/1,253/10;W
24-04-2023 13:55:44;image_075.jpg;5/1,47/1,500/10;N;11/1,39/1,568/10;W
24-04-2023 13:56:34;image_076.jpg;3/1,17/1,173/10;N;9/1,52/1,581/10;W
24-04-2023 13:57:23;image_077.jpg;0/1,46/1,94/10;N;8/1,6/1,207/10;W
24-04-2023 13:58:12;image_078.jpg;1/1,42/1,531/10;S;6/1,21/1,225/10;W
24-04-2023 13:59:01;image_079.jpg;4/1,12/1,506/10;S;4/1,35/1,218/10;W
24-04-2023 13:59:50;image_080.jpg;6/1,43/1,61/10;S;2/1,48/1,96/10;W
24-04-2023 14:00:39;image_081.jpg;9/1,12/1,579/10;S;0/1,59/1,392/10;W
24-04-2023 14:01:29;image_082.jpg;11/1,42/1,539/10;S;0/1,51/1,82/10;E
24-04-2023 14:02:18;image_083.jpg;14/1,9/1,579/10;S;2/1,42/1,392/10;E
24-04-2023 14:03:07;image_084.jpg;16/1,36/1,239/10;S;4/1,37/1,132/10;E
24-04-2023 14:03:56;image_085.jpg;19/1,2/1,91/10;S;6/1,35/1,340/10;E
24-04-2023 14:04:44;image_086.jpg;21/1,24/1,47/10;S;8/1,35/1,496/10;E
